team_id,team_name,team_market,votes
627b2e5c-3ba5-496e-9f9b-1c620247c1b7,Cougars,BYU,156
28e1dbb0-1295-42ca-bda1-fddb122aed2b,Utes,Utah,144
8b8225f5-eb09-48ea-9120-cef081918b7a,Bears,Baylor,132
1e8edb90-ea5e-4663-9a65-a30e51583711,Cardinals,Louisville,90
8f496f34-14e3-4ca7-958b-53f6da0b74d6,Trojans,USC,64
5ff038e1-6e3b-4cbe-90b8-751f783cd7a9,Yellow Jackets,Georgia Tech,63
772536c7-c3e8-40d1-ac6e-232d719dc052,Tigers,Missouri,33
98833e65-ab72-482d-b3c0-13f8656629c0,Cornhuskers,Nebraska,23
6551124f-312e-49c8-87c4-d1cba14133c7,Green Wave,Tulane,23
5f105ef1-4d01-45a5-bfbb-497ee86a8eba,Rebels,UNLV,21
692e1f0e-3c3a-4223-b2cf-7bbc58cf4977,Rockets,Toledo,13
e5bbd1bd-0d65-4581-8d9c-58b33fd5ce62,Tigers,Auburn,10
7c3a4847-5a1d-422f-b15b-dcc5f8cc5e24,Tigers,Memphis,9
b59ad9ae-b8ec-4f8e-9bd2-ec5b4af41e57,Dukes,James Madison,9
1c792ab1-d640-48f2-b796-6a81c7b14eaf,Seminoles,Florida State,8
deb0920f-c4ca-414d-be4b-ca779e353bf0,Blue Devils,Duke,6
4318b2b7-0b61-4509-b776-001b08c09dcc,Flames,Liberty,5
a2ee495d-37c7-45ac-ac3d-d3a492a219c1,Hawkeyes,Iowa,5
b1ff8076-e373-4b6a-ab0f-7f8f86bf0370,Midshipmen,Navy,5
a09e634d-39a8-4aa8-81a4-7337580a31f4,Horned Frogs,TCU,4
a5ef8db1-5d26-4d7e-af22-b21e380c16d2,Panthers,Pittsburgh,3
d23058c1-7aaa-44cd-995b-b4be7078df22,Black Knights,Army,2
2dec939a-f303-43ac-964d-37e81f75e286,Ragin' Cajuns,Louisiana,1
a18d7cf8-1263-45f2-a938-04032d2f7cf5,Buffaloes,Colorado,1
